应收ID,抄表记录ID,用户ID,地址ID,燃气表ID,费用生成日期,费用截止日期,应收账期,费用类型,本次应收,滞纳金,减免后滞纳金,应收状态,备注,流水ID,应收生成人员ID,取消人员ID
756802,756802,02010603,02010603,02010603,2016-12-06,2017-01-25,N/A,燃气使用费,5.70,0.00,0.00,2,N/A,756802,12,N/A
780816,780816,02010603,02010603,02010603,2017-01-04,2017-02-25,N/A,燃气使用费,45.60,0.00,0.00,2,N/A,780816,12,N/A
806981,806981,02010603,02010603,02010603,2017-02-05,2017-03-25,N/A,燃气使用费,110.20,0.00,0.00,2,N/A,806981,16,N/A
841216,841216,02010603,02010603,02010603,2017-03-03,2017-04-25,N/A,燃气使用费,30.40,0.00,0.00,2,N/A,841216,12,N/A
872255,872255,02010603,02010603,02010603,2017-04-05,2017-05-25,N/A,燃气使用费,9.50,0.00,0.00,2,N/A,872255,13,N/A
920544,920544,02010603,02010603,02010603,2017-06-02,2017-07-25,N/A,燃气使用费,9.50,0.00,0.00,2,N/A,920544,18,N/A
956764,956764,02010603,02010603,02010603,2017-07-04,2017-08-25,N/A,燃气使用费,11.40,0.00,0.00,2,N/A,956764,12,N/A
989466,989466,02010603,02010603,02010603,2017-08-04,2017-09-25,N/A,燃气使用费,11.40,0.00,0.00,2,N/A,989466,13,N/A
1021799,1021799,02010603,02010603,02010603,2017-09-05,2017-10-25,N/A,燃气使用费,22.80,0.00,0.00,2,N/A,1021799,12,N/A
1053776,1053776,02010603,02010603,02010603,2017-10-06,2017-11-25,N/A,燃气使用费,22.80,0.00,0.00,2,N/A,1053776,18,N/A
1084142,1084142,02010603,02010603,02010603,2017-11-04,2017-12-25,N/A,燃气使用费,19.00,0.00,0.00,2,N/A,1084142,12,N/A
1113854,1113854,02010603,02010603,02010603,2017-12-04,2018-01-25,N/A,燃气使用费,9.50,0.00,0.00,2,N/A,1113854,13,N/A
780818,780818,02010604,02010604,02010604,2017-01-04,2017-02-25,N/A,燃气使用费,13.30,0.00,0.00,2,N/A,780818,12,N/A
806988,806988,02010604,02010604,02010604,2017-02-05,2017-03-25,N/A,燃气使用费,30.40,0.00,0.00,2,N/A,806988,13,N/A
841218,841218,02010604,02010604,02010604,2017-03-03,2017-04-25,N/A,燃气使用费,7.60,0.00,0.00,2,N/A,841218,14,N/A
872257,872257,02010604,02010604,02010604,2017-04-05,2017-05-25,N/A,燃气使用费,17.10,0.00,0.00,2,N/A,872257,16,N/A
894164,894164,02010604,02010604,02010604,2017-05-03,2017-06-25,N/A,燃气使用费,20.90,0.00,0.00,2,N/A,894164,14,N/A
920546,920546,02010604,02010604,02010604,2017-06-02,2017-07-25,N/A,燃气使用费,15.20,0.00,0.00,2,N/A,920546,16,N/A
956768,956768,02010604,02010604,02010604,2017-07-04,2017-08-25,N/A,燃气使用费,24.70,0.00,0.00,2,N/A,956768,17,N/A
989470,989470,02010604,02010604,02010604,2017-08-04,2017-09-25,N/A,燃气使用费,24.70,0.00,0.00,2,N/A,989470,16,N/A
1021801,1021801,02010604,02010604,02010604,2017-09-05,2017-10-25,N/A,燃气使用费,24.70,0.00,0.00,2,N/A,1021801,14,N/A
1053778,1053778,02010604,02010604,02010604,2017-10-06,2017-11-25,N/A,燃气使用费,13.30,0.00,0.00,2,N/A,1053778,13,N/A
1084144,1084144,02010604,02010604,02010604,2017-11-04,2017-12-25,N/A,燃气使用费,26.60,0.00,0.00,2,N/A,1084144,12,N/A
1113856,1113856,02010604,02010604,02010604,2017-12-04,2018-01-25,N/A,燃气使用费,19.00,0.00,0.00,2,N/A,1113856,16,N/A
806992,806992,02010605,02010605,02010605,2017-02-05,2017-03-25,N/A,燃气使用费,28.50,0.00,0.00,2,N/A,806992,11,N/A
841222,841222,02010605,02010605,02010605,2017-03-03,2017-04-25,N/A,燃气使用费,41.80,0.00,0.00,2,N/A,841222,14,N/A
872259,872259,02010605,02010605,02010605,2017-04-05,2017-05-25,N/A,燃气使用费,47.50,0.00,0.00,2,N/A,872259,13,N/A
894168,894168,02010605,02010605,02010605,2017-05-03,2017-06-25,N/A,燃气使用费,68.40,0.00,0.00,2,N/A,894168,14,N/A
920548,920548,02010605,02010605,02010605,2017-06-02,2017-07-25,N/A,燃气使用费,24.97,0.00,0.00,2,N/A,920548,14,N/A
956770,956770,02010605,02010605,02010605,2017-07-04,2017-08-25,N/A,燃气使用费,39.90,0.00,0.00,2,N/A,956770,14,N/A
989474,989474,02010605,02010605,02010605,2017-08-04,2017-09-25,N/A,燃气使用费,32.30,0.00,0.00,2,N/A,989474,13,N/A
1021803,1021803,02010605,02010605,02010605,2017-09-05,2017-10-25,N/A,燃气使用费,38.38,0.00,0.00,2,N/A,1021803,13,N/A
1053780,1053780,02010605,02010605,02010605,2017-10-06,2017-11-25,N/A,燃气使用费,34.20,0.00,0.00,2,N/A,1053780,13,N/A
1084148,1084148,02010605,02010605,02010605,2017-11-04,2017-12-25,N/A,燃气使用费,199.50,0.00,0.00,2,N/A,1084148,17,N/A
807000,807000,02010606,02010606,02010606,2017-02-05,2017-03-25,N/A,燃气使用费,9.50,0.00,0.00,2,N/A,807000,16,N/A
841224,841224,02010606,02010606,02010606,2017-03-03,2017-04-25,N/A,燃气使用费,15.20,0.00,0.00,2,N/A,841224,14,N/A
872261,872261,02010606,02010606,02010606,2017-04-05,2017-05-25,N/A,燃气使用费,30.40,0.00,0.00,2,N/A,872261,13,N/A
894172,894172,02010606,02010606,02010606,2017-05-03,2017-06-25,N/A,燃气使用费,32.30,0.00,0.00,2,N/A,894172,17,N/A
920550,920550,02010606,02010606,02010606,2017-06-02,2017-07-25,N/A,燃气使用费,32.30,0.00,0.00,2,N/A,920550,13,N/A
956774,956774,02010606,02010606,02010606,2017-07-04,2017-08-25,N/A,燃气使用费,19.00,0.00,0.00,2,N/A,956774,17,N/A
989478,989478,02010606,02010606,02010606,2017-08-04,2017-09-25,N/A,燃气使用费,26.60,0.00,0.00,2,N/A,989478,13,N/A
1021805,1021805,02010606,02010606,02010606,2017-09-05,2017-10-25,N/A,燃气使用费,38.00,0.00,0.00,2,N/A,1021805,14,N/A
1053784,1053784,02010606,02010606,02010606,2017-10-06,2017-11-25,N/A,燃气使用费,45.60,0.00,0.00,2,N/A,1053784,11,N/A
1084152,1084152,02010606,02010606,02010606,2017-11-04,2017-12-25,N/A,燃气使用费,11.40,0.00,0.00,2,N/A,1084152,12,N/A
1113860,1113860,02010606,02010606,02010606,2017-12-04,2018-01-25,N/A,燃气使用费,7.60,0.00,0.00,2,N/A,1113860,18,N/A
841228,841228,02010607,02010607,02010607,2017-03-03,2017-04-25,N/A,燃气使用费,60.80,0.00,0.00,2,N/A,841228,14,N/A
872263,872263,02010607,02010607,02010607,2017-04-05,2017-05-25,N/A,燃气使用费,678.30,0.00,0.00,2,N/A,872263,11,N/A
894174,894174,02010607,02010607,02010607,2017-05-03,2017-06-25,N/A,燃气使用费,518.70,0.00,0.00,2,N/A,894174,14,N/A
920552,920552,02010607,02010607,02010607,2017-06-02,2017-07-25,N/A,燃气使用费,364.80,0.00,0.00,2,N/A,920552,11,N/A
956780,956780,02010607,02010607,02010607,2017-07-04,2017-08-25,N/A,燃气使用费,267.90,0.00,0.00,2,N/A,956780,14,N/A
1134768,1134768,02010607,02010607,02010607,2017-12-11,2018-01-25,N/A,燃气使用费,2.85,0.00,0.00,2,N/A,1134768,11,N/A
1053788,1053788,02010608,02010608,02010608,2017-10-06,2017-11-25,N/A,燃气使用费,311.60,0.00,0.00,2,N/A,1053788,11,N/A
1084158,1084158,02010608,02010608,02010608,2017-11-04,2017-12-25,N/A,燃气使用费,66.50,0.00,0.00,2,N/A,1084158,17,N/A
1113865,1113865,02010608,02010608,02010608,2017-12-04,2018-01-25,N/A,燃气使用费,85.50,0.00,0.00,2,N/A,1113865,18,N/A
